|	|__name_enus	|__quality	|__icon	|__screenshot	|__jsonequip__arcsplpwr	|__jsonequip__arcres	|__jsonequip__armor	|__jsonequip__def	|__jsonequip__buyprice	|__jsonequip__atkpwr	|__jsonequip__agi	|__jsonequip__classes	|__jsonequip__cooldown	|__jsonequip__avgbuyout	|__jsonequip__displayid	|__jsonequip__dmgmax1	|__jsonequip__dmgmin1	|__jsonequip__dmgrange	|__jsonequip__dmgtype1	|__jsonequip__dps	|__jsonequip__dura	|__jsonequip__feratkpwr	|__jsonequip__healthrgn	|__jsonequip__firsplpwr	|__jsonequip__itemset	|__jsonequip__firres	|__jsonequip__frores	|__jsonequip__holsplpwr	|__jsonequip__frosplpwr	|__jsonequip__int	|__jsonequip__manargn	|__jsonequip__maxcount	|__jsonequip__mlecritstrkpct	|__jsonequip__mledmgmax	|__jsonequip__mledmgmin	|__jsonequip__mledps	|__jsonequip__mlehitpct	|__jsonequip__mlespeed	|__jsonequip__natsplpwr	|__jsonequip__races	|__jsonequip__reqskill	|__jsonequip__reqskillrank	|__jsonequip__parrypct	|__jsonequip__natres	|__jsonequip__reqfaction	|__jsonequip__reqlevel	|__jsonequip__rgdatkpwr	|__jsonequip__reqrep	|__jsonequip__rgdcritstrkpct	|__jsonequip__rgddmgmax	|__jsonequip__rgddmgmin	|__jsonequip__rgddps	|__jsonequip__rgdspeed	|__jsonequip__rgdhitpct	|__jsonequip__sellprice	|__jsonequip__shasplpwr	|__jsonequip__shares	|__jsonequip__sheathtype	|__jsonequip__slotbak	|__jsonequip__speed	|__jsonequip__splpen	|__jsonequip__splcritstrkpct	|__jsonequip__splhitpct	|__jsonequip__str	|__jsonequip__spi	|__jsonequip__splheal	|__jsonequip__sta	|__jsonequip__splpwr	|__attainable	|__flags2
19864	Bloodcaller	4	inv_sword_18	355533											32314	113.5999985	52.59999847	1	0	41.55	105									15		1		113.5999985	52.59999847	41.55		2								60									102408			3	21	2							12	33	0	8192
3935	Smotts' Cutlass	1	inv_sword_24	62756											4800	29	15	1	0	11.58	65											1		29	15	11.58		1.9								20												3	21	1.9									0	8192
20577	Nightmare Blade	4	inv_sword_44	456092			70			32					33097	185	99	1	0	52.59	105											1		185	99	52.59		2.7								60									108080			3	13	2.7							9		0	8192
19865	Warblade of the Hakkari	4	inv_sword_55	11114						28					32722	110	59	1	0	49.71	105				461							1	1	110	59	49.71		1.7								60			1						102760			1	21	1.7									0	8192
19556	Protector's Sword	3	inv_sword_27	245493											32077	103	55	1	0	29.26	90											1		103	55	29.26		2.7								38									15899			3	13	2.7				8			3		0	8192
19552	Legionnaire's Sword	3	inv_sword_31	88029											32076	103	55	1	0	29.26	90											1		103	55	29.26		2.7								38									15899			3	13	2.7				8			3		0	8192
21650	Ancient Qiraji Ripper	4	classic_inv_sword_59	407912						20					34264	213	114	1	0	58.39	105												1	213	114	58.39		2.8								60			1						146570			3	13	2.8							11		0	8192
727	Notched Shortsword	2	inv_sword_04	65803										873	26577	15	8	1	0	5.48	40													15	8	5.48		2.1								5									244			3	13	2.1									0	8192
12061	Blade of Reckoning	2	inv_sword_26	64738						22					28086	112	60	1	0	35.83	75													112	60	35.83		2.4																	40212			3	13	2.4									0	8192
14576	Ebon Hilt of Marduk	3	inv_sword_15	81598											25173	137	73	1	0	38.89	90													137	73	38.89		2.7								54									48770			3	21	2.7									0	8192
21520	Ravencrest's Legacy	4	inv_sword_49	219400							9				31866	157	84	1	0	57.38	105											1		157	84	57.38		2.1								60									151868			3	13	2.1				13			14		0	8192
7943	Wicked Mithril Blade	2	inv_sword_10	149020							4				16128	80	43	1	0	26.74	75													80	43	26.74		2.3								40									15891			3	21	2.3				6					0	8192
15216	Rune Sword	2	inv_sword_41	452042										30000	28530	63	34	1	0	30.31	75													63	34	30.31		1.6								46									25932			3	13	1.6									0	8192
2488	Gladius	1	inv_sword_20	462987					536						22078	11	5	1	0	3.81	35													11	5	3.81		2.1								4									107			3	13	2.1									0	8192
16890	Slatemetal Cutlass	2	inv_sword_33	396409							2				28593	35	19	1	0	12.27	65													35	19	12.27		2.2																	2483			3	13	2.2				2					0	8192
19554	Protector's Sword	3	inv_sword_27	271099											32077	146	78	1	0	41.48	90											1		146	78	41.48		2.7								58									54922			3	13	2.7				13			5		0	8192
1925	Defias Rapier	2	inv_sword_30	349285							2			1195	20114	17	9	1	0	8.13	50													17	9	8.13		1.6								11									787			3	21	1.6									0	8192
21521	Runesword of the Red	4	inv_sword_51	184827											33994	128.8000031	52.8	1	0	41.27	105									9		1		128.8000031	52.8	41.27		2.2								60									137911			3	21	2.2					7		17	64	0	8192
3740	Decapitating Sword	2	inv_weapon_shortblade_26	460901										4000	22226	42	22	1	0	12.31	65													42	22	12.31		2.6								19									2452			3	21	2.6									0	8192
20430	Legionnaire's Sword	3	inv_sword_31	310931											32076	53	28	1	0	15	75											1		53	28	15		2.7								18									2433			3	13	2.7				4			2		0	8192
12584	Grand Marshal's Longsword	4	inv_sword_11	12761						28					31966	207	138	1	0	59.48	105												1	207	138	59.48		2.9								60			1						49636			3	13	2.9							7		0	8192
15801	Valiant Shortsword	2	inv_sword_25	402651											26479	95	50	1	0	34.52	75									11				95	50	34.52		2.1																	35860			3	13	2.1									0	8192
10803	Blade of the Wretched	2	inv_sword_38	61107											20035	88	47	1	0	32.14	75													88	47	32.14		2.1								49									29441			3	21	2.1									0	8192
2520	Broadsword	1	inv_sword_05	462969					24628						22085	53	28	1	0	17.61	75													53	28	17.61		2.3								31									4925			3	21	2.3									0	8192
3400	Lucine Longsword	2	inv_sword_20	60807											20110	42	22	1	0	12.8	65													42	22	12.8		2.5																	2761			3	21	2.5							4		0	8192
1937	Buzz Saw	2	inv_sword_24	274881							2				5040	33	17	1	0	10.42	60													33	17	10.42		2.4								16									1700			3	13	2.4				2					0	8192
23132	Lord Blackwood's Blade	3	inv_sword_05	66607			60								35571	80	42	1	0	40.67	90													80	42	40.67		1.5								57									56951			3	13	1.5							14		0	8192
4116	Olmann Sewar	2	inv_sword_33	0											20223	81	43	1	0	22.96	75													81	43	22.96		2.7																	12337			3	21	2.7							7		0	8192
19866	Warblade of the Hakkari	4	inv_sword_55	1015						40					32722	106	57	1	0	47.94	105				461							1		106	57	47.94		1.7								60									86994			1	22	1.7									0	8192
21622	Sharpened Silithid Femur	4	classic_inv_sword_58	5520											34232	136.5999992	53.60000038	1	0	41.35	105									7		1		136.5999992	53.60000038	41.35		2.3								60									160986			3	21	2.3		1					14	72	0	8192
1951	Blackwater Cutlass	2	inv_sword_24	49103							2			1555	8279	24	12	1	0	9.47	55													24	12	9.47		1.9								14									1258			3	13	1.9									0	8192
3462	Talonstrike	2	inv_sword_12	82841							3				28607	26	13	1	0	12.19	65													26	13	12.19		1.6																	2283			3	21	1.6									0	8192
13182	Phase Blade	3	inv_sword_36	57930											23734	103	55	1	0	37.62	90													103	55	37.62		2.1								52									44142			3	13	2.1				7			12		0	8192
3849	Hardened Iron Shortsword	2	inv_sword_20	110772										13500	5153	39	21	1	0	16.67	75													39	21	16.67		1.8								27									5468			3	21	1.8							5		0	8192
4766	Feral Blade	2	inv_sword_24	68050					2407		1			4500	7314	24	12	1	0	6.92	45													24	12	6.92		2.6								8									481			3	21	2.6									0	8192
18957	Brushwood Blade	2	inv_sword_06	448797											31400	21	11	1	0	5.33	40													21	11	5.33		3																	250			1	13	3							1		0	8192
15211	Militant Shortsword	2	inv_sword_20	69023										2000	28567	36	19	1	0	11	60													36	19	11		2.5								17									1916			3	13	2.5									0	8192
15214	Nobles Brand	2	inv_sword_20	33434										15990	28561	61	32	1	0	22.14	75													61	32	22.14		2.1								35									11356			3	13	2.1									0	8192
2018	Skeletal Longsword	2	inv_sword_19	708843										9807	20088	40	21	1	0	13.86	70													40	21	13.86		2.2								22									3269			3	21	2.2							4		0	8192
19867	Bloodlord's Defender	4	inv_sword_54	413297			80	4							32581	119	64	1	0	48.16	105											1		119	64	48.16		1.9								60									87323			3	21	1.9							15		0	8192
15814	Hameya's Slayer	2	inv_sword_34	59993											26503	86	57	1	0	35.75	75													86	57	35.75		2																	41911			3	13	2									0	8192
7944	Dazzling Mithril Rapier	2	inv_sword_30	100241							8				20221	63	34	1	0	28.53	75													63	34	28.53		1.7								43									20092			3	21	1.7									0	8192
19968	Fiery Retributer	3	inv_sword_01	71283			60	5							32443	105	56	1	0	44.72	90											1		105	56	44.72		1.8								60									74373			3	21	1.8				7					0	8192
20440	Protector's Sword	3	inv_sword_27	393998											32077	53	28	1	0	15	75											1		53	28	15		2.7								18									2582			3	13	2.7				4			2		0	8192
15705	Tidecrest Blade	2	inv_sword_39	25884											26432	115	62	1	0	34.04	75													115	62	34.04		2.6																	33830			3	13	2.6				8	5				0	8192
15800	Intrepid Shortsword	2	inv_sword_26	177497											26477	95	50	1	0	34.52	75													95	50	34.52		2.1																	36082			3	13	2.1							11		0	8192
18396	Mind Carver	3	inv_weapon_shortblade_22	102911											30754	106	57	1	0	40.75	90									8				106	57	40.75		2								57									57516			3	21	2								12	0	8192
15210	Raider Shortsword	2	inv_sword_04	407931										1360	28544	20	11	1	0	8.16	50													20	11	8.16		1.9								11									825			3	13	1.9									0	8192
4560	Fine Scimitar	1	inv_sword_24	179614											4788	6	3	1	0	2.37	30													6	3	2.37		1.9								1									37			3	13	1.9									0	8192
16891	Claystone Shortsword	2	inv_sword_23	69956											28608	30	16	1	0	10.45	60													30	16	10.45		2.2																	1697			3	13	2.2							3		0	8192
19110	Cold Forged Blade	3	inv_sword_47	283911							5				31617	140	75	1	0	41.35	90													140	75	41.35		2.6								58									54922			3	13	2.6							13		0	8192
18610	Keen Machete	1	inv_sword_16	49147										400	5139	6	3	1	0	2.5	30													6	3	2.5		1.8								1									36			3	21	1.8									0	8192
1469	Scimitar of Atun	2	inv_sword_24	69188							2			2500	20154	33	17	1	0	9.62	55													33	17	9.62		2.6								14									1180			3	21	2.6									0	8192
6984	Umbral Sword	2	inv_sword_04	804489								1			20159	21	11	1	0	7.62	50													21	11	7.62		2.1																	688			3	21	2.1							1		0	8192
22806	Widow's Remorse	4	inv_sword_60	15690			100								35247	131	70	1	0	62.81	105											1		131	70	62.81	1	1.6								60								1	182204			3	13	1.6							17		0	8192
8196	Ebon Scimitar	2	inv_sword_36	218070										20000	26572	62	33	1	0	25	75													62	33	25		1.9								38									13979			3	13	1.9									0	8192
2027	Scimitar	1	inv_sword_33	462993					3815						22079	26	14	1	0	8.7	55													26	14	8.7		2.3								14									763			3	13	2.3									0	8192
16345	High Warlord's Blade	4	inv_sword_11	132137						28					31997	207	138	1	0	59.48	105												1	207	138	59.48		2.9								60			1						49483			3	13	2.9							7		0	8192
2078	Northern Shortsword	2	inv_sword_20	686233										1400	20157	26	14	1	0	9.09	55													26	14	9.09		2.2								13									1070			3	13	2.2									0	8192
21395	Blade of Eternal Justice	4	inv_sword_57	55545								2			33839	154	83	1	0	51.52	105				506					7	4			154	83	51.52		2.3								60												3	21	2.3				9			11		0	8192
21413	Blade of Vaulted Secrets	4	inv_sword_57	55546								128			33839	130.9999962	59.99999886	1	0	41.52	105				504					16				130.9999962	59.99999886	41.52		2.3								60												3	21	2.3			1				8	40	0	8192
15215	Furious Falchion	2	inv_sword_16	68422										25000	28528	87	46	1	0	26.6	75													87	46	26.6		2.5								40									16744			3	21	2.5									0	8192
1008	Well-used Sword	1	inv_sword_04	53806											1550	12	6	1	0	4.29	40													12	6	4.29		2.1																	144			3	21	2.1									0	8192
22332	Blade of Necromancy	3	inv_sword_25	7354											34810	80	42	1	0	40.67	90													80	42	40.67		1.5								57									53683			3	21	1.5		1					4		0	8192
23456	Grand Marshal's Swiftblade	4	inv_sword_05	271605						28					36066	129	85	1	0	59.44	105												1	129	85	59.44		1.8								60			1						45671			3	13	1.8							7		0	8192
15335	Briarsteel Shortsword	2	inv_sword_20	59899											28093	24	12	1	0	7.2	45													24	12	7.2		2.5																	580			3	13	2.5							1		0	8192
15217	Widow Blade	2	inv_sword_41	81371										46500	28458	84	45	1	0	32.25	75													84	45	32.25		2								49									30996			3	13	2									0	8192
18310	Fiendish Machete	3	inv_sword_18	102909							5				30673	112	74	1	0	38.75	90													112	74	38.75		2.4								54									47406			3	13	2.4									0	8192
753	Dragonmaw Shortsword	2	inv_sword_36	186318											20094	42	22	1	0	14.55	70													42	22	14.55		2.2								23									3842			3	13	2.2							4		0	8192
7329	Thun'grim's Sword	2	inv_sword_04	0								1			20160	21	11	1	0	7.62	50													21	11	7.62		2.1																	703			3	21	2.1							1		0	8192
4765	Enamelled Broadsword	2	inv_sword_20	599876					2877						7313	23	12	1	0	7.29	45													23	12	7.29		2.4								9									575			3	21	2.4				1					0	8192
19551	Legionnaire's Sword	3	inv_sword_31	310934											32076	124	66	1	0	35.19	90											1		124	66	35.19		2.7								48									32156			3	13	2.7				11			5		0	8192
923	Longsword	1	inv_sword_23	67833					8743						22080	37	19	1	0	12.17	70													37	19	12.17		2.3								21									1748			3	21	2.3									0	8192
2850	Bronze Shortsword	1	inv_sword_04	69640											3855	31	16	1	0	11.19	65													31	16	11.19		2.1								19									1439			3	21	2.1									0	8192
19555	Protector's Sword	3	inv_sword_27	271096											32077	124	66	1	0	35.19	90											1		124	66	35.19		2.7								48									32156			3	13	2.7				11			5		0	8192
2035	Sword of the Night Sky	2	inv_sword_20	0							2				5161	27	14	1	0	12.06	65													27	14	12.06		1.7								19									2300			3	21	1.7				2					0	8192
5744	Pale Skinner	2	inv_sword_24	0											8279	19	10	1	0	6.59	40													19	10	6.59		2.2								7									386			3	21	2.2									0	8192
6985	Haggard's Sword	2	inv_sword_04	181993								1			20163	21	11	1	0	7.62	50													21	11	7.62		2.1																	690			3	21	2.1							1		0	8192
18463	Ogre Pocket Knife	2	inv_sword_04	82097						16					30814	112	60	1	0	35.83	75													112	60	35.83		2.4								55									41472			3	13	2.4							7		0	8192
1219	Redridge Machete	2	inv_sword_16	0										1200	20122	25	13	1	0	8.26	50													25	13	8.26		2.3								11									823			3	21	2.3							2		0	8192
15219	Dimensional Blade	2	inv_sword_23	163380											13078	73	39	1	0	35	75													73	39	35		1.6								54									41376			3	13	1.6									0	8192
23467	High Warlord's Quickblade	4	inv_sword_05	410053						28					36081	129	85	1	0	59.44	105												1	129	85	59.44		1.8								60			1						45671			3	13	1.8							7		0	8192
886	Black Metal Shortsword	2	inv_sword_26	170121											20093	30	16	1	0	13.53	70													30	16	13.53		1.7								21									2949		4	3	21	1.7									0	8192
19550	Legionnaire's Sword	3	inv_sword_31	310935											32076	146	78	1	0	41.48	90											1		146	78	41.48		2.7								58									54922			3	13	2.7				13			5		0	8192
15782	Beaststalker Blade	2	inv_sword_33	60424											26463	103	55	1	0	35.91	75													103	55	35.91		2.2																	43142			3	13	2.2									0	8192
3455	Deathstalker Shortsword	1	inv_sword_15	82828											20015	14	7	1	0	5	40													14	7	5		2.1																	188			3	13	2.1									0	8192
19964	Renataki's Soul Conduit	3	inv_sword_37	273579											32438	114.6000034	57.60000057	1	0	41	90										6	1		114.6000034	57.60000057	41		2.1								60									73293			3	21	2.1								16	0	8192
15221	Holy War Sword	2	inv_sword_06	168130											28552	111	59	1	0	38.64	75													111	59	38.64		2.2								60									51946			3	13	2.2									0	8192
18484	Cho'Rush's Blade	3	inv_weapon_shortblade_04	399936						28					30822	125	67	1	0	40	90													125	67	40		2.4								56									53822			3	13	2.4									0	8192
2046	Bluegill Kukri	2	inv_weapon_shortblade_26	280439										5000	22226	45	24	1	0	12.32	65													45	24	12.32		2.8								19									2461			3	21	2.8				3					0	8192
15218	Crystal Sword	2	inv_sword_39	68816											28346	102	54	1	0	33.91	75													102	54	33.91		2.3								52									37047			3	13	2.3									0	8192
2057	Pitted Defias Shortsword	1	inv_sword_04	52944											20175	4	2	1	0	1.5	25													4	2	1.5		2								1									16			3	21	2									0	8192
2847	Copper Shortsword	1	inv_sword_26	52553										65	4805	11	5	1	0	3.81	35													11	5	3.81		2.1								4									110			3	21	2.1									0	8192
25	Worn Shortsword	1	inv_sword_04	7087											1542	3	1	1	0	1.05	20													3	1	1.05		1.9								1									7			3	21	1.9									0	8192
1817	Stock Shortsword	0	inv_sword_04	444310										300	20164	14	7	1	0	5.83	55													14	7	5.83		1.8								14									501			3	21	1.8									0	8192
3783	Light Scimitar	0	inv_sword_24	57800											20216	28	15	1	0	11.32	75													28	15	11.32		1.9								31									3048			3	21	1.9									0	8192
7118	Heirloom Sword	2	inv_sword_04	0								1			20161	21	11	1	0	7.62	50													21	11	7.62		2.1																	690			3	21	2.1							1		0	8192
6967	Elunite Sword	2	inv_sword_04	0								1			20162	21	11	1	0	7.62	50													21	11	7.62		2.1																	696			3	21	2.1							1		0	8192
2528	Falchion	1	inv_sword_34	462972					51836						22081	74	39	1	0	25.68	75													74	39	25.68		2.2								41									10367			3	21	2.2									0	8192
997	Fire Sword of Crippling	1	inv_sword_04	0											859			1		0.75	20															0.75		2								1									3			3	21	2									0	8192
13816	Fine Longsword	0	inv_sword_27	279753											20225	53	28	1	0	18.41	75													53	28	18.41		2.2								47									10561			3	21	2.2									0	8192
4932	Harpy Wing Clipper	1	inv_sword_04	242512											20013	17	9	1	0	5	40													17	9	5		2.6																	179			3	21	2.6									0	8192
1821	Warped Blade	0	inv_sword_04	461053										900	5151	15	8	1	0	7.19	65													15	8	7.19		1.6								19									988			3	21	1.6									0	8192
3278	Aura Proc Damage Sword	0	inv_sword_04	0											3447	25	13	1	0	9.5	75													25	13	9.5		2								25									1720			3	21	2									0	8192
3295	Deadman Blade	1	inv_sword_04	333872											3434	4	2	1	0	1.2	20													4	2	1.2		2.5								1									10			3	21	2.5									0	8192
4017	Sharp Shortsword	0	inv_sword_27	250223											20225	39	20	1	0	16.39	75													39	20	16.39		1.8								41									6910			3	21	1.8									0	8192
1511	Commoner's Sword	0	inv_sword_04	444297										22	20173	12	6	1	0	3.91	45													12	6	3.91		2.3								8									193			3	21	2.3									0	8192
2131	Shortsword	1	inv_sword_04	444326					54						22075	4	2	1	0	1.15	20													4	2	1.15		2.6								1									10			3	13	2.6									0	8192
2282	Rodentia Shortsword	1	inv_sword_47	70039										100	20211	13	7	1	0	4.35	40													13	7	4.35		2.3								5									139			3	21	2.3									0	8192
2258	Frostmane Shortsword	1	inv_sword_04	61603										124	4260	9	4	1	0	3.25	35													9	4	3.25		2								3									83			3	21	2									0	8192
3319	Short Sabre	1	inv_sword_24	52208										179	5007	10	5	1	0	3.95	35													10	5	3.95		1.9								4									110			3	21	1.9									0	8192
1829	Short Cutlass	0	inv_sword_24	463371											15591	32	17	1	0	9.07	75													32	17	9.07		2.7								24									1563			3	21	2.7									0	8192
1413	Feeble Sword	0	inv_sword_04	448699										50	1547	7	3	1	0	2.5	35													7	3	2.5		2								3									55			3	21	2									0	8192
1384	Dull Blade	1	inv_sword_04	0											1546	3	1	1	0	1.05	20													3	1	1.05		1.9								1									11			3	21	1.9									0	8192
15220	Battlefell Sabre	2	inv_sword_36	452027											28316	106	57	1	0	37.05	75													106	57	37.05		2.2								57									43493			3	21	2.2									0	8192
945	Shadow Sword	1	inv_sword_04	0											859			1		0.75	20															0.75		2								1									3			3	21	2									0	8192
2268	Stonesplinter Blade	1	inv_sword_47	58980											20213	12	6	1	0	4.5	40													12	6	4.5		2								5									146			3	21	2									0	8192
2065	Rockjaw Blade	1	inv_sword_47	54377											20212	11	5	1	0	3.81	35													11	5	3.81		2.1								4									113			3	21	2.1									0	8192
3267	Forsaken Shortsword	1	inv_sword_04	78058											20176	6	3	1	0	2.14	30													6	3	2.14		2.1																	25			3	21	2.1									0	8192
948	Nature Sword	1	inv_sword_04	0											859			1		0.75	20															0.75		2								1									3			3	21	2									0	8192
1161	Militia Shortsword	1	inv_sword_04	113860											1544	7	3	1	0	2	30													7	3	2		2.5																	25			3	21	2.5									0	8192
2496	Raider Shortsword	1	inv_sword_04	0											2398	11	5	1	0	3.2	35													11	5	3.2		2.5								3									80			3	21	2.5									0	8192
14391	Durability Sword	1	inv_sword_04	0											20173	2	1	1	0	0.65	20													2	1	0.65		2.3																	3			3	13	2.3									0	8192
5586	Thistlewood Blade	1	inv_sword_04	59435											1547	6	3	1	0	2.05	30													6	3	2.05		2.2																	26			3	21	2.2									0	8192
2481	Peon Sword	1	inv_sword_04	0											16155	5	2	1	0	1.46	25													5	2	1.46		2.4								1									17			3	21	2.4									0	8192
6953	Verigan's Fist	3	inv_hammer_05	151895								2			13466	99	65	1	0	25.63	100									6				99	65	25.63		3.2																	7459			1	17	3.2					12		7		0	8192
9449	Manual Crowd Pummeler	3	inv_mace_14	3288							5				19645	70	46	1	0	29	100													70	46	29		2								29									9564			1	17	2				16					0	8192
17182	"Sulfuras, Hand of Ragnaros"	5	inv_hammer_unique_sulfuras	330071											29698	372	223	1	0	80.41	145					30						1		372	223	80.41		3.7								60									332623			1	17	3.7				12			12		0	8192
6976	Whirlwind Warhammer	3	inv_hammer_08	351802								1			25079	146	97	1	0	35.74	100													146	97	35.74		3.4																	17264			1	17	3.4				15			14		0	8192
17193	Sulfuron Hammer	4	inv_hammer_unique_sulfuras	83927											29699	295	176	1	0	63.65	120													295	176	63.65		3.7								60									122311			1	17	3.7									0	8192
9413	The Rockpounder	3	inv_hammer_12	26423											19620	190	126	1	0	42.7	100												2	190	126	42.7		3.7								44			2						32248			1	17	3.7				5					0	8192
7723	Mograine's Might	3	inv_mace_13	9275											21252	131	87	1	0	38.93	100													131	87	38.93		2.8								39									22567			1	17	2.8					16		17		0	8192
7730	Cobalt Crusher	3	inv_hammer_04	64994										29999	15466	111	74	1	0	28.91	100													111	74	28.91		3.2								29									10146			1	17	3.2									0	8192
17766	Princess Theradras' Scepter	3	inv_hammer_10	56411											29939	190	126	1	0	46.47	100													190	126	46.47		3.4								49									44863			1	17	3.4									0	8192
19323	The Unstoppable Force	4	inv_hammer_13	32244											31817	292	175	1	0	61.45	120											1	2	292	175	61.45		3.8								60			2						312980			1	17	3.8				19			15		0	8192
7230	Smite's Mighty Hammer	3	inv_hammer_09	18934							4				19610	83	55	1	0	19.71	80													83	55	19.71		3.5								18									3103			1	17	3.5				11					0	8192
6327	The Pacifier	3	inv_mace_09	243626											11271	156	104	1	0	32.5	100													156	104	32.5		4								32									12823			1	17	4				18			7		0	8192
13045	Viscous Hammer	3	inv_mace_13	3752						34					25627	105	70	1	0	30.17	100													105	70	30.17		2.9								30									10809			1	17	2.9				3			6		0	8192
12796	Hammer of the Titans	3	inv_hammer_09	451744											25047	246	163	1	0	53.82	100													246	163	53.82		3.8								58									70912			1	17	3.8				15					0	8192
2915	Taran Icebreaker	4	inv_hammer_02	11270											19664	137	91	1	0	49.57	120													137	91	49.57		2.3								47									55289			1	17	2.3									0	8192
22798	Might of Menethil	4	inv_mace_25	534998											35239	435	289	1	0	95.26	120												2	435	289	95.26		3.8								60			2						326465			1	17	3.8				20			46		0	8192
11608	Dark Iron Pulverizer	3	inv_hammer_09	28657											25046	211	140	1	0	47.43	100													211	140	47.43		3.7								50									45760			1	17	3.7									0	8192
17073	Earthshaker	4	inv_hammer_04	6350						22					32162	263	175	1	0	62.57	120													263	175	62.57		3.5								60									113631			1	17	3.5									0	8192
11921	Impervious Giant	3	inv_hammer_08	262841			30								25625	159	105	1	0	48.89	100												2	159	105	48.89	1	2.7								52			2					1	54167			1	17	2.7									0	8192
9391	The Shoveler	3	inv_misc_shovel_02	400686						20		1			18269	133	88	1	0	32.5	100													133	88	32.5		3.4								32									12831			1	17	3.4							15		0	8192
13167	Fist of Omokk	3	inv_hammer_04	83912											25180	204	135	1	0	51.36	100													204	135	51.36		3.3								55									59410			1	17	3.3				29			12		0	8192
4128	Silver Spade	2	inv_misc_shovel_02	83902											18269	134	89	1	0	30.14	85													134	89	30.14		3.7																	14587			1	17	3.7					15		4		0	8192
1722	Thornstone Sledgehammer	3	inv_hammer_04	183488										40000	15467	143	95	1	0	37.19	100													143	95	37.19		3.2						10		37									19407			1	17	3.2				20					0	8192
22348	Doomulus Prime	3	inv_hammer_10	9521											35010	265	158	1	0	55.66	100													265	158	55.66	1	3.8																1	76507			1	17	3.8				22			22		0	8192
4983	Rock Pulverizer	2	inv_hammer_17	61386						34					19596	139	92	1	0	31.22	85													139	92	31.22		3.7																	16837			1	17	3.7									0	8192
3203	Dense Triangle Mace	3	inv_mace_13	66329										599	5228	66	44	1	0	22.92	95													66	44	22.92		2.4								23									5436			1	17	2.4				10			10		0	8192
3194	Black Malice	3	inv_mace_01	407924										750	19622	73	48	1	0	18.33	75													73	48	18.33		3.3								16									2495			1	17	3.3									0	8192
18420	Bonecrusher	3	inv_mace_02	9087											30792	194	129	1	0	53.83	100												1	194	129	53.83		3											1						71236			1	17	3				30					0	8192
13046	Blanchard's Stout	3	inv_hammer_04	7367											28677	162	107	1	0	43.39	100					5								162	107	43.39		3.1								45									35042			1	17	3.1				20			15		0	8192
5815	Glacial Stone	2	inv_mace_09	82427											9057	91	60	1	0	20.97	85													91	60	20.97		3.6																	5871			1	17	3.6									0	8192
18531	Unyielding Maul	3	inv_hammer_22	52431			250	8							30867	204	135	1	0	52.97	100													204	135	52.97		3.2								57									65383			1	17	3.2							12		0	8192
20696	Crystal Spiked Maul	3	inv_hammer_10	9622											33143	252	168	1	0	53.85	100												2	252	168	53.85		3.9								58			2						70171			1	17	3.9				16					0	8192
9604	Mechanic's Pipehammer	2	inv_mace_04	61135											18531	69	45	1	0	20.36	85									3				69	45	20.36		2.8																	5632			1	17	2.8							10		0	8192
12983	Rakzur Club	3	inv_hammer_09	83905										9900	28809	57	38	1	0	18.27	75													57	38	18.27		2.6								16									2362			1	17	2.6				4	5		8		0	8192
12528	The Judge's Gavel	3	inv_hammer_07	67872											28673	184	122	1	0	45	100													184	122	45		3.4								47									37833			1	17	3.4									0	8192
13047	Twig of the World Tree	3	inv_mace_13	278967											25626	221	147	1	0	49.73	100													221	147	49.73		3.7								53									56588			1	17	3.7				14	12		21		0	8192
1976	Slaghammer	3	inv_hammer_16	34369										60000	8590	80	53	1	0	23.75	100													80	53	23.75		2.8								24									6340			1	17	2.8				11			10		0	8192
11803	Force of Magma	3	inv_hammer_09	251471											21793	185	123	1	0	48.13	100													185	123	48.13		3.2								51									50177			1	17	3.2				14					0	8192
9423	The Jackhammer	3	inv_hammer_07	83916											18324	119	79	1	0	39.6	100													119	79	39.6		2.5								40									25463			1	17	2.5									0	8192
6093	Orc Crusher	2	inv_mace_07	4765											19646	79	52	1	0	18.19	80													79	52	18.19		3.6																	4418			1	17	3.6				8			4		0	8192
4778	Heavy Spiked Mace	2	inv_mace_01	53258					7350						6808	51	34	1	0	12.5	65													51	34	12.5		3.4								14									1470			1	17	3.4				6					0	8192
15418	Shimmering Platinum Warhammer	3	inv_hammer_07	83906											27412	192	142	1	0	53.87	100													192	142	53.87		3.1																	73597			1	17	3.1									0	8192
18803	Finkle's Lava Dredger	4	inv_gizmo_02	228367											31265	234	155	1	0	67.07	120					15				24	9			234	155	67.07		2.9								60									135594			1	17	2.9							25		0	8192
5322	Demolition Hammer	2	inv_hammer_16	19558											19611	49	32	1	0	17.61	80													49	32	17.61		2.3																	4016			1	17	2.3				9					0	8192
10626	Ragehammer	3	inv_hammer_06	34047											19617	193	128	1	0	43.38	100													193	128	43.38		3.7								45									36732			1	17	3.7									0	8192
13393	Malown's Slam	3	inv_mace_01	82513											25629	238	158	1	0	52.11	100													238	158	52.11		3.8								56									62380			1	17	3.8									0	8192
4548	Servomechanic Sledgehammer	2	inv_hammer_04	83901											3151	80	53	1	0	30.23	85													80	53	30.23		2.2			202	100													15028			1	17	2.2									0	8192
19358	Draconic Maul	4	inv_mace_05	25826											31877	282	187	1	0	67	120												2	282	187	67		3.5								60			2						130638			1	17	3.5				27			19		0	8192
