"|","|__name_zhcn","|__quality","|__icon","|__screenshot","|__jsonequip__cooldown","|__jsonequip__armor","|__jsonequip__arcres","|__jsonequip__agi","|__jsonequip__atkpwr","|__jsonequip__avgbuyout","|__jsonequip__def","|__jsonequip__buyprice","|__jsonequip__classes","|__jsonequip__displayid","|__jsonequip__dmgmax1","|__jsonequip__dmgmin1","|__jsonequip__dmgrange","|__jsonequip__dmgtype1","|__jsonequip__dps","|__jsonequip__dura","|__jsonequip__manargn","|__jsonequip__mlecritstrkpct","|__jsonequip__healthrgn","|__jsonequip__firres","|__jsonequip__frores","|__jsonequip__holsplpwr","|__jsonequip__maxcount","|__jsonequip__int","|__jsonequip__mledmgmax","|__jsonequip__mledmgmin","|__jsonequip__mledps","|__jsonequip__mlehitpct","|__jsonequip__mlespeed","|__jsonequip__races","|__jsonequip__reqskill","|__jsonequip__reqskillrank","|__jsonequip__natres","|__jsonequip__parrypct","|__jsonequip__reqlevel","|__jsonequip__rgdcritstrkpct","|__jsonequip__rgdhitpct","|__jsonequip__sellprice","|__jsonequip__shares","|__jsonequip__sheathtype","|__jsonequip__slotbak","|__jsonequip__speed","|__jsonequip__splcritstrkpct","|__jsonequip__splpwr","|__jsonequip__spi","|__jsonequip__splheal","|__jsonequip__sta","|__jsonequip__str","|__attainable","|__flags2"
"1726","浸毒骨矛","3","inv_spear_02","340200","","","","","","","","","","20749","87","57","1","0","31.3","100","","","","","","","","","87","57","31.3","","2.3","","","","","","31","","","12183","","2","17","2.3","","","","","","","0","8192"
"9604","蒸汽锤","2","inv_mace_04","61135","","","","","","","","","","18531","69","45","1","0","20.36","85","","","","","","","","3","69","45","20.36","","2.8","","","","","","","","","5632","","1","17","2.8","","","","","10","","0","8192"
"12983","拉克祖尔木棒","3","inv_hammer_09","83905","","","","","","9900","","","","28809","57","38","1","0","18.27","75","","","","","","","","","57","38","18.27","","2.6","","","","","","16","","","2362","","1","17","2.6","","","5","","8","4","0","8192"
"19854","辛洛斯，诸界的毁灭者","4","inv_sword_55","626689","","","","","72","","","","","32603","295","196","1","0","64.61","120","","","","","","","1","","295","196","64.61","","3.8","","","","","","60","","","123502","","1","17","3.8","","","","","28","","0","8192"
"3855","巨型铁斧","2","inv_throwingaxe_05","147015","","","","","","","","","","8528","108","71","1","0","25.57","85","","","","","","","","","108","71","25.57","","3.5","","","","","","32","","","11248","","1","17","3.5","","","","","7","11","0","8192"
"1893","矿工的报复","2","inv_pick_03","445910","","","","","","","","","","19234","55","36","1","0","13","65","","","","","","","","","55","36","13","","3.5","","","","","","","","","1775","","1","17","3.5","","","6","","","","0","8192"
"12249","无情战斧","2","inv_axe_17","68040","","","","","","","","30195","","22249","81","54","1","0","21.09","85","","","","","","","","","81","54","21.09","","3.2","","","","","","26","","","6039","","1","17","3.2","","","","","","12","0","8192"
"10573","斩骨剑","3","inv_sword_41","9008","","","","5","","","","","","20149","106","70","1","0","32.59","100","","","","","","","","","106","70","32.59","","2.7","","","","","","32","","","13754","","1","17","2.7","","","","","7","16","0","8192"
"12528","裁决之槌","3","inv_hammer_07","67872","","","","","","","","","","28673","184","122","1","0","45","100","","","","","","","","","184","122","45","","3.4","","","","","","47","","","37833","","1","17","3.4","","","","","","","0","8192"
"13047","世界之树的嫩枝","3","inv_mace_13","278967","","","","","","","","","","25626","221","147","1","0","49.73","100","","","","","","","","","221","147","49.73","","3.7","","","","","","53","","","56588","","1","17","3.7","","","12","","21","14","0","8192"
"12583","黑手魔锯","3","inv_weapon_halberd_04","124536","","","","","","","","","","22792","227","151","1","0","54","100","","","","","","","","","227","151","54","","3.5","","","","","","58","","","74346","","1","17","3.5","","","","","","","0","8192"
"2491","双刃战斧","1","inv_axe_10","45794","","","","","","","","484","","22112","15","9","1","0","4.29","40","","","","","","","","","15","9","4.29","","2.8","","","","","","3","","","96","","1","17","2.8","","","","","","","0","8192"
"20083","狩猎长矛","3","inv_spear_02","59219","","","","","","","","","","32717","168","111","1","0","45","100","5","1","","","","","","","168","111","45","","3.1","","","","","","","1","","40524","","1","17","3.1","","","","","17","","0","8192"
"13041","守护之刃","3","inv_sword_25","866181","","40","","","","8999","9","","","28768","76","50","1","0","21.72","95","","","","","","","","","76","50","21.72","","2.9","","","","","","21","","","4516","","1","17","2.9","","","","","","","0","8192"
"6905","暗礁战斧","2","inv_weapon_halberd_06","173563","","","","","","","","","","22222","73","48","1","0","18.33","80","","","","","","","","","73","48","18.33","","3.3","","","","","","22","","","4010","","1","17","3.3","","","7","","5","","0","8192"
"1959","冷铁镐","2","inv_pick_01","462425","","","","","","1999","","","","14038","41","27","1","0","11.33","60","","","","","","","","","41","27","11.33","","3","","","","","","12","","","1223","","1","17","3","","","4","","2","","0","8192"
"18538","古树天敌","4","inv_axe_10","4466","","","","","","","","","","30881","193","128","1","0","59.44","120","","2","","","","","","","193","128","59.44","","2.7","","","","","","58","2","","96748","","1","17","2.7","","","","","15","25","0","8192"
"1976","熔渣战锤","3","inv_hammer_16","34369","","","","","","60000","","","","8590","80","53","1","0","23.75","100","","","","","","","","","80","53","23.75","","2.8","","","","","","24","","","6340","","1","17","2.8","","","","","10","11","0","8192"
"13057","血矛","3","inv_spear_02","9709","","","","","","9800","","","","25630","89","59","1","0","23.13","95","","","","","","","","","89","59","23.13","","3.2","","","","","","23","","","5382","","2","17","3.2","","","","","","","0","8192"
"19334","狂野之刃","4","inv_sword_50","60276","","","","22","","","","","","31999","289","192","1","0","70.74","120","","","","","","","","","289","192","70.74","","3.4","","","","","","60","","","160453","","1","17","3.4","","","","","16","","0","8192"
"7957","青铜巨剑","1","inv_sword_20","180648","","","","","","","","","","16147","58","38","1","0","16","80","","","","","","","","","58","38","16","","3","","","","","","21","","","2205","","1","17","3","","","","","","","0","8192"
"11803","熔岩之力","3","inv_hammer_09","251471","","","","","","","","","","21793","185","123","1","0","48.13","100","","","","","","","","","185","123","48.13","","3.2","","","","","","51","","","50177","","1","17","3.2","","","","","","14","0","8192"
"3854","霜虎之刃","2","inv_sword_05","289435","","","","","","","","","","20252","118","78","1","0","28.82","85","","1","","","","","","","118","78","28.82","","3.4","","","","","","35","1","","14120","","1","17","3.4","","","","","","","0","8192"
"1387","食尸鬼之牙","2","inv_sword_07","111920","","","","","","","","","","20087","54","36","1","0","12.5","65","","","","","","","","","54","36","12.5","","3.6","","","","","","14","","","1578","","1","17","3.6","","","","","","","0","8192"
"9423","千斤锤","3","inv_hammer_07","83916","","","","","","","","","","18324","119","79","1","0","39.6","100","","","","","","","","","119","79","39.6","","2.5","","","","","","40","","","25463","","1","17","2.5","","","","","","","0","8192"
"12769","冷木斧","3","inv_axe_24","736647","","","","","","","","","","25600","151","100","1","0","46.48","100","","","","","","","","","151","100","46.48","","2.7","","","","","","49","","","46154","","1","17","2.7","","","","","5","11","0","8192"
"13059","石鸦","3","inv_spear_07","29395","","","","13","","","","","","25633","178","118","1","0","44.85","100","","","","","","","","","178","118","44.85","","3.3","","","","","","47","","","38719","","2","17","3.3","","","9","","15","13","0","8192"
"6093","兽人粉碎者","2","inv_mace_07","4765","","","","","","","","","","19646","79","52","1","0","18.19","80","","","","","","","","","79","52","18.19","","3.6","","","","","","","","","4418","","1","17","3.6","","","","","4","8","0","8192"
"4817","被赐福的双刃刀","2","inv_sword_13","61652","","","","","","","","12311","","7319","44","29","1","0","14.6","70","","","","","","","","","44","29","14.6","","2.5","","","","","","17","","","2462","","1","17","2.5","","","","","7","","0","8192"
"4778","重型尖刺钉锤","2","inv_mace_01","53258","","","","","","","","7350","","6808","51","34","1","0","12.5","65","","","","","","","","","51","34","12.5","","3.4","","","","","","14","","","1470","","1","17","3.4","","","","","","6","0","8192"
"13053","厄运制造者","3","inv_sword_01","8380","","","","","","","","","","28717","173","115","1","0","51.43","100","","","","","","","","","173","115","51.43","","2.8","","","","","","55","","","59186","","1","17","2.8","","","","","","","0","8192"
"15418","闪光白金战锤","3","inv_hammer_07","83906","","","","","","","","","","27412","192","142","1","0","53.87","100","","","","","","","","","192","142","53.87","","3.1","","","","","","","","","73597","","1","17","3.1","","","","","","","0","8192"
"13054","恐怖收割者","3","inv_spear_02","3248","","","","","","20000","","","","28764","133","88","1","0","35.65","100","","","","","","","","","133","88","35.65","","3.1","","","","","","35","","","15805","","1","17","3.1","","","","","","","0","8192"
"9383","黑曜石利斧","3","inv_axe_14","83349","","","","5","","","","","","18328","141","94","1","0","35.61","100","","","","","","","","","141","94","35.61","","3.3","","","","","","35","","","16895","","1","17","3.3","","","","","19","6","0","8192"
"3417","玉髓双刃刀","3","inv_sword_13","347259","","","","","","378","","","","20174","73","48","1","0","21.61","95","","","","","","","","","73","48","21.61","","2.8","","","","","","21","","","4629","","1","17","2.8","","","6","","5","9","0","8192"
"8178","训练用剑","2","inv_sword_45","448696","","","","","","1440","","","","26591","30","20","1","0","7.14","45","","","","","","","","","30","20","7.14","","3.5","","","","","","5","","","306","","1","17","3.5","","","","","","","0","8192"
"7758","无情剃刀","3","inv_spear_08","71362","","","","","","","","","","22238","113","75","1","0","34.81","100","","","","","","","","","113","75","34.81","","2.7","","","","","","34","","","15074","","2","17","2.7","","","","","8","19","0","8192"
"18803","芬克的熔岩挖掘器","4","inv_gizmo_02","228367","","","","","","","","","","31265","234","155","1","0","67.07","120","9","","","15","","","","24","234","155","67.07","","2.9","","","","","","60","","","135594","","1","17","2.9","","","","","25","","0","8192"
"14541","巴罗夫家族长剑","3","inv_sword_03","62580","","","","","","","","","","25649","132","87","1","0","52.14","100","","","","","","","","","132","87","52.14","","2.1","","","","","","56","","","68426","","1","17","2.1","","","","","","","0","8192"
"5322","破坏之锤","2","inv_hammer_16","19558","","","","","","","","","","19611","49","32","1","0","17.61","80","","","","","","","","","49","32","17.61","","2.3","","","","","","","","","4016","","1","17","2.3","","","","","","9","0","8192"
"21856","奈雷萨克，饮血者","4","inv_axe_09","487668","","","","","","","","","","34481","303","202","1","0","68.24","120","","","","","","","","","303","202","68.24","","3.7","","","","","","60","","","147180","","1","17","3.7","","","","","16","21","0","8192"
"6641","鬼魂之刃","2","inv_sword_17","408140","","","","","","","","","","20167","80","53","1","0","17.5","80","","","","","","","","","80","53","17.5","","3.8","","","","","","21","","","3675","","1","17","3.8","","","9","","","","0","8192"
"9486","增压战斧","3","inv_axe_21","83351","","","","","","","","","","19295","78","51","1","0","23.04","95","","","","","","","","","78","51","23.04","","2.8","","","","","","23","","","5483","","1","17","2.8","","","","","","","0","8192"
"5318","斑马战斧","2","inv_weapon_halberd_02","19580","","","","","","","","","","22225","49","32","1","0","13.06","65","","","","","","","","","49","32","13.06","","3.1","","","","","","","","","1789","","1","17","3.1","","","","","6","","0","8192"
"22815","断离","4","inv_axe_22","7864","","","","","","","","","","35371","354","235","1","0","81.81","120","","2","","","","","","","354","235","81.81","","3.6","","","","","","60","2","","241520","","1","17","3.6","","","","","18","43","0","8192"
"13056","疯狂长矛","3","inv_spear_07","62438","","","","","","","","","","12562","162","108","1","0","48.21","100","","","","","","","","","162","108","48.21","2","2.8","","","","","1","51","","2","48330","","1","17","2.8","","","","","","","0","8192"
"18831","高阶督军的战斧","4","inv_axe_21","115463","","","","","","","","","","31958","353","235","1","0","77.37","120","","1","","","","","","","353","235","77.37","","3.8","","","","","","60","1","","57448","","1","17","3.8","","","","","41","26","0","8192"
"13044","斩魔剑","3","inv_sword_03","316369","","","","","","","","","","28714","182","121","1","0","48.87","100","","","","","","","","","182","121","48.87","","3.1","","","","","","52","","","52800","","1","17","3.1","","","","","","","0","8192"
"15251","削头剑","2","inv_sword_42","61879","","","","","","29600","","","","28546","94","62","1","0","32.5","85","","","","","","","","","94","62","32.5","","2.4","","","","","","38","","","17685","","1","17","2.4","","","","","","","0","8192"
"17223","雷霆之击","4","inv_spear_08","276701","60000","","","","","","","","","29191","221","147","1","0","59.35","120","","","","","","","","","221","147","59.35","","3.1","","","","","","58","","","97074","","2","17","3.1","","","","","","","0","8192"
"9480","凿眼者","3","inv_spear_05","71363","","","","23","","","","","","22235","151","100","1","0","41.83","100","","","","","","","","","151","100","41.83","","3","","","","","","43","","","31725","","2","17","3","","","","","","10","0","8192"
"9685","山岭巨人的意志","2","inv_axe_18","0","","","","","","","","","","19311","133","88","1","0","39.46","85","","","","","","","","","133","88","39.46","","2.8","","","","","","46","","","32277","","1","17","2.8","","","","","14","15","0","8192"
"10626","怒火之锤","3","inv_hammer_06","34047","","","","","","","","","","19617","193","128","1","0","43.38","100","","","","","","","","","193","128","43.38","","3.7","","","","","","45","","","36732","","1","17","3.7","","","","","","","0","8192"
"5813","艾米尔的烙印","2","inv_sword_10","196168","","","","","","","","","","9055","81","53","1","0","21.61","85","","","","","","","","","81","53","21.61","","3.1","","","","","","","","","7087","","1","17","3.1","","","","","3","11","0","8192"
"3487","铜质重剑","2","inv_sword_14","68996","","","","","","3900","","","","20196","41","27","1","0","12.59","65","","","","","","","","","41","27","12.59","","2.7","","","","","","14","","","1498","","1","17","2.7","","","","","6","","0","8192"
"12463","龙牙之剑","3","inv_sword_19","172533","","","","","","","","","","20198","149","99","1","0","45.93","100","","","","","","","","","149","99","45.93","","2.7","","","","","","48","","","42446","","1","17","2.7","","","","","","15","0","8192"
"11607","黑铁斩碎者","3","inv_weapon_halberd_02","83346","","","","","","","","","","22218","153","101","1","0","48.85","100","","","","","","","","","153","101","48.85","","2.6","","","","","","52","","","51225","","1","17","2.6","","","","","","","0","8192"
"9679","托克卡尔的鱼人斩切者","2","inv_weapon_halbard_01","83344","","","","","","","","","","22223","125","83","1","0","32.5","85","","","","","","","","","125","83","32.5","","3.2","","","","","","","","","17550","","1","17","3.2","","","","","6","15","0","8192"
"6679","刺甲之矛","2","inv_spear_05","70931","","","","11","","","","","","22241","62","41","1","0","19.81","85","","","","","","","","","62","41","19.81","","2.6","","","","","","24","","","4852","","2","17","2.6","","","","","","","0","8192"
"1975","派森的巨剑","3","inv_sword_25","22046","","","","","","","","","","20179","91","60","1","0","22.88","95","","","","","","","","","91","60","22.88","","3.3","","","","","","23","","","5744","","1","17","3.3","","","13","","","5","0","8192"
"23039","蛛魔之眼","4","inv_weapon_halberd_04","6801","","","","45","","","","","","35259","378","251","1","0","85","120","","","","","","","","","378","251","85","","3.7","","","","","","60","","","264392","","1","17","3.7","","","","","22","","0","8192"
"13393","马龙之肘","3","inv_mace_01","82513","","","","","","","","","","25629","238","158","1","0","52.11","100","","","","","","","","","238","158","52.11","","3.8","","","","","","56","","","62380","","1","17","3.8","","","","","","","0","8192"
"4548","自动战锤","2","inv_hammer_04","83901","","","","","","","","","","3151","80","53","1","0","30.23","85","","","","","","","","","80","53","30.23","","2.2","","202","100","","","","","","15028","","1","17","2.2","","","","","","","0","8192"
"18542","台风","4","inv_sword_41","180509","","","","20","","","","","","30886","225","150","1","0","64.66","120","","","","","","","","","225","150","64.66","","2.9","","","","","1","60","","","125278","","1","17","2.9","","","","","10","14","0","8192"
"5614","大天使之击","2","inv_sword_27","57121","","","","","","","","","","20182","81","54","1","0","21.09","85","","","","","","","","","81","54","21.09","","3.2","","","","","","","","","6147","","1","17","3.2","","","10","","","3","0","8192"
"21679","卡利姆多的复仇","4","inv_sword_56","125221","","","","","","","","","","34304","315","209","1","0","81.88","120","","","","","","","","","315","209","81.88","","3.2","","","","","","60","","","230318","","1","17","3.2","","","","","18","24","0","8192"
"19358","龙人之槌","4","inv_mace_05","25826","","","","","","","","","","31877","282","187","1","0","67","120","","2","","","","","","","282","187","67","","3.5","","","","","","60","2","","130638","","1","17","3.5","","","","","19","27","0","8192"
"11809","烈焰之怒","3","inv_spear_01","368414","","","","","","","","","","22031","191","127","1","0","48.18","100","","","","","","","","","191","127","48.18","","3.3","","","","","","51","","","51287","","2","17","3.3","","","","","","","0","8192"
"13163","无情镰刀","3","inv_sword_18","240217","","","","8","","","","","","23683","210","140","1","0","53.03","100","","","","","","","","","210","140","53.03","","3.3","","","","","1","57","","","69537","","1","17","3.3","","","","","8","20","0","8192"
"18717","大十字军之锤","3","inv_hammer_06","920","","","","","","","","","","23239","175","116","1","0","53.89","100","","","","","","","","26","175","116","53.89","","2.7","","","","","","58","","","68818","","1","17","2.7","","","9","22","10","","0","8192"
"19353","龙爪巨斧","4","inv_axe_10","795444","","","","","","","","","","31857","300","199","1","0","73.38","120","","","","","","","","","300","199","73.38","","3.4","","","","","","60","","","180812","","1","17","3.4","","","","","17","22","0","8192"
"13058","豪尔之矛","3","inv_spear_02","84021","","","","","","39999","","","","28790","117","77","1","0","38.8","100","","","","","","","","","117","77","38.8","","2.5","","","","","","39","","","21833","","2","17","2.5","","","10","","20","","0","8192"
"3191","曲刃战斧","2","inv_axe_06","3289","","","","","","","","","","11165","70","46","1","0","17.58","80","","","","","","","","","70","46","17.58","","3.3","","","","","","21","","","3857","","1","17","3.3","","","","","6","6","0","8192"
"3195","野人战斧","2","inv_axe_10","78665","","","","","","1400","","","","8499","52","34","1","0","11.94","60","","","","","","","","","52","34","11.94","","3.6","","","","","","13","","","1372","","1","17","3.6","","","","","","","0","8192"
"1986","裂胆剑","2","inv_sword_15","74811","","","","","","10000","","","","20638","94","62","1","0","30","85","","","","","","","","","94","62","30","","2.6","","","","","","36","","","14861","","1","17","2.6","","","","","","","0","8192"
"18877","高阶督军的巨剑","4","inv_sword_48","214969","","","","","","","","","","31998","353","235","1","0","77.37","120","","1","","","","","","","353","235","77.37","","3.8","","","","","","60","1","","60339","","1","17","3.8","","","","","41","26","0","8192"
"1522","猎头长矛","2","inv_spear_05","34426","","","","11","","10100","","","","22239","95","63","1","0","24.69","85","","","","","","","","","95","63","24.69","","3.2","","","","","","31","","","10224","","2","17","3.2","","","6","","","","0","8192"
"19354","巨龙复仇者","4","inv_axe_21","795443","","","","","","","","","","31858","262","174","1","0","68.13","120","","","","","","","","","262","174","68.13","","3.2","","","","","2","60","","","135086","","1","17","3.2","","","","","18","21","0","8192"
"12000","叉刃巨斧","2","inv_axe_02","101272","","","","","","","","","","28207","123","82","1","0","42.71","85","","","","","","","","","123","82","42.71","","2.4","","","","","","","","","41053","","1","17","2.4","","","","","6","21","0","8192"
"12776","魔化战锤","3","inv_hammer_05","83911","","","","","","","","","","23240","150","100","1","0","48.08","100","","","","","","","","","150","100","48.08","2","2.6","","","","","1","51","","2","48124","","1","17","2.6","","","","","","","0","8192"
"12775","巨型瑟银战斧","2","inv_weapon_halberd_11","83335","","","","","","","","","","23434","172","114","1","0","43.33","85","","","","","","","","","172","114","43.33","","3.3","","","","","","51","","","39949","","1","17","3.3","","","","","","","0","8192"
"13055","噬骨者","3","inv_spear_06","183480","","","","","","","","","","18388","141","94","1","0","41.96","100","","","","","","","","","141","94","41.96","","2.8","","","","","","43","","","29367","","1","17","2.8","","","","","10","23","0","8192"
"4777","铁木槌","2","inv_hammer_16","67787","","","","","","","","7040","","19538","40","26","1","0","11.79","60","","","","","","","","","40","26","11.79","","2.8","","","","","","13","","","1408","","1","17","2.8","","","","","5","","0","8192"
"3851","结实的铁锤","2","inv_hammer_07","48746","","","","","","","","","","19647","89","59","1","0","21.14","85","","","","","","","","","89","59","21.14","","3.5","","","","","","26","","","6258","","1","17","3.5","","","","","12","","0","8192"
"22208","熔岩石锤","3","inv_hammer_10","61584","","","","","","","","","","34556","203","135","1","0","49.71","100","","","","","","","","12","203","135","49.71","","3.4","","","","","","53","","","57079","","1","17","3.4","","20","","","14","10","0","8192"
"1264","碎头者","2","inv_mace_07","42840","","","","","","","","","","5530","49","32","1","0","17.61","80","","","","","","","","","49","32","17.61","","2.3","","","","","","","","","3671","","1","17","2.3","","","","","3","8","0","8192"
"22813","邪恶力量巨剑","4","inv_sword_46","11502","","","","","98","","","","","35255","354","235","1","0","81.81","120","","","","","","","","","354","235","81.81","","3.6","","","","","","60","","","239811","","1","17","3.6","","","","","20","","0","8192"
"12802","黑暗之矛","3","inv_spear_08","599888","","","","","","","","","","23283","197","131","1","0","51.25","100","","","","","","","","","197","131","51.25","","3.2","","","","","","55","","","62625","","2","17","3.2","","","","","","","0","8192"
"19874","惩戒长戟","4","inv_weapon_halberd_12","112537","","","","","","","","","","32604","263","175","1","0","62.57","120","","","","","","","","","263","175","62.57","","3.5","","","","","","60","","","112009","","1","17","3.5","","","","","","","0","8192"
"7959","荒芜","3","inv_spear_07","9728","","","","","","","","","","22234","141","93","1","0","43.33","100","","","","","","","","","141","93","43.33","","2.7","","","","","","45","","","33857","","2","17","2.7","","","","","","","0","8192"
"1521","食人魔战斧","2","inv_axe_18","83337","","","","","","","","","","19306","158","105","1","0","33.72","85","","","","","","","","","158","105","33.72","","3.9","","","","","","39","","","19205","","1","17","3.9","","","","","7","15","0","8192"
"3103","寒脊之锤","2","inv_hammer_15","54297","","","","","","","","","","8588","27","18","1","0","8.33","50","","","","","","","","","27","18","8.33","","2.7","","","","","","","","","466","","1","17","2.7","","","1","","","1","0","8192"
"4562","斩首之斧","2","inv_throwingaxe_02","6543","","","","","","1498","","","","8531","27","18","1","0","7.03","45","","","","","","","","","27","18","7.03","","3.2","","","","","","5","","","298","","1","17","3.2","","","","","","","0","8192"
"3210","野蛮战斧","2","inv_axe_17","444622","","","","","","7999","","","","19275","88","58","1","0","20.28","85","","","","","","","","","88","58","20.28","","3.6","","","","","","25","","","5626","","1","17","3.6","","","","","","","0","8192"
"3852","碎铁金锤","2","inv_hammer_04","83802","","","","","","","","","","15468","76","50","1","0","22.91","85","","","","","","","","","76","50","22.91","","2.75","","","","","","29","","","8360","","1","17","2.75","","","","","4","11","0","8192"
"5182","破碎的剑","2","inv_sword_26","69609","","","","","","","","","","8000","46","30","1","0","13.1","65","","","","","","","","","46","30","13.1","","2.9","","","","","","15","","","1769","","1","17","2.9","","","","","","","0","8192"
"22809","赎罪十字军之槌","4","inv_mace_26","83925","","","","","","","","","","36518","367","244","1","0","84.86","120","8","","","","","","","24","367","244","84.86","","3.6","","","","","","60","","","260674","","1","17","3.6","","35","","","29","","0","8192"
"13983","墓石战斧","3","inv_weapon_halberd_09","236384","","","","","","","","","","24816","217","144","1","0","53.09","100","","","","","","","","","217","144","53.09","","3.4","","","","","","57","","","66754","","1","17","3.4","","","","","","","0","8192"
"10799","刺头之矛","3","inv_spear_06","63686","","","","","","","","","","22242","159","106","1","0","44.17","100","","","","","","","","","159","106","44.17","","3","","","","","","46","","","39288","","2","17","3","","","","","18","15","0","8192"
"926","大型战斧","1","inv_throwingaxe_05","283585","","","","","","","","9784","","22108","70","46","1","0","15.26","75","","","","","","","","","70","46","15.26","","3.8","","","","","","20","","","1956","","1","17","3.8","","","","","","","0","8192"
"15464","野蛮之锤","2","inv_hammer_16","64964","","","","1","","","","","","28096","76","50","1","0","19.09","80","","","","","","","","","76","50","19.09","","3.3","","","","","","","","","4504","","1","17","3.3","","","","","8","4","0","8192"
"10628","死亡一击","3","inv_sword_31","71935","","","","","","","","","","20189","141","94","1","0","41.96","100","","","","","","","","","141","94","41.96","","2.8","","","","","","43","","","29245","","1","17","2.8","","","","","","","0","8192"
"19357","悲哀使者","4","inv_mace_05","83923","","","","","","","","","","31878","300","199","1","0","73.38","120","","","","","","","","20","300","199","73.38","","3.4","","","","","","60","","","166093","","1","17","3.4","","","17","","22","31","0","8192"
"1640","巨刃战斧","2","inv_axe_18","445139","","","","","","15500","","","","8526","139","92","1","0","31.22","85","","","","","","","","","139","92","31.22","","3.7","","","","","","37","","","15637","","1","17","3.7","","","","","","","0","8192"
"5200","穿刺鱼叉","2","inv_spear_07","69386","","","","7","","","","","","5949","42","27","1","0","14.38","70","","","","","","","","","42","27","14.38","","2.4","","","","","","20","","","2323","","2","17","2.4","","","","","","","0","8192"
"5615","巡林人之剑","2","inv_sword_42","59992","","","","2","","","","","","20121","52","34","1","0","13.03","65","","","","","","","","","52","34","13.03","","3.3","","","","","","","","","1776","","1","17","3.3","","","","","5","","0","8192"
"3856","月牙斧","2","inv_axe_17","83341","","","","","","","","","","8533","87","58","1","0","29","85","","","","","","","","","87","58","29","","2.5","","","","","","35","","","14221","","1","17","2.5","","","","","10","11","0","8192"
"3192","练习剑","2","inv_sword_40","273803","","","","","","460","","","","26590","30","20","1","0","8.33","50","","","","","","","","","30","20","8.33","","3","","","","","","7","","","495","","1","17","3","","","","","","","0","8192"
"15249","锋利双手剑","2","inv_sword_23","10887","","","","","","3800","","","","20080","76","50","1","0","17.5","80","","","","","","","","","76","50","17.5","","3.6","","","","","","21","","","3877","","1","17","3.6","","","","","","","0","8192"
"15269","超大战斧","2","inv_axe_21","252999","","","","","","2999","","","","28573","64","42","1","0","16.06","75","","","","","","","","","64","42","16.06","","3.3","","","","","","19","","","3036","","1","17","3.3","","","","","","","0","8192"
"20669","黑石双刃刀","3","inv_sword_35","426","","","","","54","","","","","33123","229","152","1","0","52.92","100","","","","","","","","","229","152","52.92","","3.6","","","","","","57","","","70120","","1","17","3.6","","","","","17","","0","8192"
"6186","石腭怪切割者","2","inv_sword_46","59625","","","","","","","","","","20119","49","32","1","0","11.91","60","","","","","","","","","49","32","11.91","","3.4","","","","","","","","","1372","","1","17","3.4","","","5","","","","0","8192"
"15268","双刃斧","2","inv_axe_09","252994","","","","","","1450","","","","28460","35","23","1","0","10.74","55","","","","","","","","","35","23","10.74","","2.7","","","","","","11","","","1024","","1","17","2.7","","","","","","","0","8192"
"18830","大元帅的斩石斧","4","inv_axe_10","8490","","","","","","","","","","31302","353","235","1","0","77.37","120","","1","","","","","","","353","235","77.37","","3.8","","","","","","60","1","","57227","","1","17","3.8","","","","","41","26","0","8192"
"15272","剃刀斧","2","inv_axe_17","363092","","","","","","","","","","28541","138","91","1","0","45.8","85","","","","","","","","","138","91","45.8","","2.5","","","","","","54","","","51740","","1","17","2.5","","","","","","","0","8192"
"15271","无双战斧","2","inv_axe_12","59288","","","","","","","","","","28334","198","132","1","0","43.42","85","","","","","","","","","198","132","43.42","","3.8","","","","","","51","","","43701","","1","17","3.8","","","","","","","0","8192"
"21492","其拉屠戮者","4","inv_sword_56","101244","","","","15","","","","","","33882","270","180","1","0","62.5","120","","","","","","","","","270","180","62.5","","3.6","","","","","","60","","","113287","","1","17","3.6","","","","","20","35","0","8192"
"12243","烟熏之爪","3","inv_weapon_halberd_04","262848","","","","","","","","","","5290","162","108","1","0","46.55","100","","","","10","","","","","162","108","46.55","","2.9","","","","","","49","","","45980","","2","17","2.9","","","","","","","0","8192"
"15260","石锤","2","inv_hammer_17","419850","","","","","","11200","","","","28468","96","64","1","0","26.67","85","","","","","","","","","96","64","26.67","","3","","","","","","33","","","11556","","1","17","3","","","","","","","0","8192"
"1485","干草叉","0","inv_spear_04","25757","","","","","","1399","","","","7464","45","29","1","0","10","75","","","","","","","","","45","29","10","","3.7","","","","","","20","","","1410","","1","17","3.7","","","","","","","0","8192"
"1196","大板斧","1","inv_axe_04","55503","","","","","","","","2214","","22114","32","21","1","0","8.28","50","","","","","","","","","32","21","8.28","","3.2","","","","","","9","","","442","","1","17","3.2","","","","","","","0","8192"
"3201","角斗士战斧","2","inv_axe_17","50300","","","","","","4400","","","","19283","71","47","1","0","19.03","80","","","","","","","","","71","47","19.03","","3.1","","","","","","23","","","4496","","1","17","3.1","","","","","","","0","8192"
"5187","拉克佐之锤","1","inv_hammer_09","172146","","","","","","990","","","","8600","46","30","1","0","11.88","65","","","","","","","","","46","30","11.88","","3.2","","","","","","15","","","1081","","1","17","3.2","","","","","","","0","8192"
"9626","矮人冲锋斧","2","inv_axe_09","584759","","","","","","","","","","19302","109","72","1","0","31.21","85","","","","","","","","","109","72","31.21","","2.9","","","","","","","","","16243","","1","17","2.9","","","","","11","12","0","8192"
